Nome do Repositório,Estrelas,Releases
DeepSpeed,34405,77
carbon,34394,215
gym,34387,19
date-fns,34335,120
tmux,34199,35
photoprism,34190,70
interview,34178,0
streamlit,34149,82
Ryujinx,34148,0
insomnia,34116,460
lapce,34092,30
googletest,34079,9
termux-app,34066,91
trpc,34062,200
TrafficMonitor,34016,24
caffe,34010,14
novu,33995,36
clipboard.js,33956,42
whisper.cpp,33895,17
typeorm,33887,32
v2rayNG,33843,187
formik,33823,196
vim-plug,33802,8
AI-For-Beginners,33777,0
12306,33729,1
pandoc,33679,137
google-research,33653,0
gold-miner,33631,0
metasploit-framework,33603,0
shadowsocks,33541,2
Files,33510,116
compose,33394,230
AFNetworking,33333,40
HanLP,33326,57
zig,33317,18
brackets,33265,69
awesome-javascript,33240,0
netty,33217,0
AndroidUtilCode,33189,117
Summer2025-Internships,33166,0
cli,33163,46
fd,33090,39
react-beautiful-dnd,33052,68
awesome-compose,33015,0
jieba,32980,9
REKCARC-TSC-UHT,32975,0
EasySpider,32967,9
gulp,32960,23
Awesome-Design-Tools,32957,0
halo,32952,182
XX-Net,32946,388
immutable-js,32911,80
jellyfin,32868,76
appsmith,32836,237
TTS,32834,98
daisyui,32793,41
spring-boot-demo,32762,0
ray,32723,90
fiber,32686,122
marked,32627,133
zxing,32573,31
LeetCode-Go,32568,4
zod,32564,89
WeChatMsg,32453,32
slidev,32423,351
ijkplayer,32351,0
awesome-shell,32329,0
helix,32305,26
ShadowsocksX-NG,32295,29
material-design-lite,32279,14
ccxt,32277,65
carbon-lang,32264,63
husky,32193,78
expo,32149,0
typst,32148,16
gitness,32039,41
framework,32015,748
JavaScript,31970,0
solid,31913,34
easyexcel,31766,13
penpot,31698,40
sqlmap,31696,9
fastify,31685,284
logseq,31667,147
gradio,31667,1000
android-open-project,31592,0
awesome-awesomeness,31568,0
RSSHub,31564,0
GitHubDaily,31532,0
run,31392,0
beego,31339,33
nushell,31321,97
GPT-SoVITS,31319,0
Coursera-ML-AndrewNg-Notes,31301,0
certbot,31236,52
system-design,31222,0
pytorch-image-models,31183,58
chatgpt-web,31161,43
AgentGPT,31149,12
graphql-engine,31010,269
jQuery-File-Upload,30964,0
poetry,30850,133
swc,30834,537
Python,30829,0
NewPipe,30827,131
engineering-blogs,30774,0
linux-command,30758,27
vault,30756,146
Langchain-Chatchat,30750,31
awesome-php,30747,0
zsh-autosuggestions,30733,0
openpose,30655,15
cal.com,30647,280
Blog,30632,0
MS-DOS,30580,0
rxjs,30535,2
modern-unix,30528,0
vimrc,30487,0
leetcode,30442,20
yew,30424,35
p3c,30330,0
learnGitBranching,30303,0
libpku,30301,0
How-To-Ask-Questions-The-Smart-Way,30293,0
html2canvas,30287,45
NeteaseCloudMusicApi,30270,0
OpenHands,30258,8
spacedrive,30253,25
clash-verge-rev,30248,38
serenity,30225,0
spring-boot-examples,30141,0
