Nome do Repositório,Estrelas,Tempo Desde a Ultima Atualizacao
nw.js,40270,8.94
python-patterns,40086,2.62
Rocket.Chat,39843,0.71
JeecgBoot,39827,5.54
uni-app,39825,2.97
what-happens-when,39735,1.06
monaco-editor,39612,0.65
Fooocus,39588,0.37
vuetify,39584,7.14
swiper,39442,2.97
awesome-cheatsheets,39184,1.88
spark,39178,4.34
text-generation-webui,39160,1.63
hexo,39085,0.49
Stirling-PDF,39053,0.42
lx-music-desktop,39009,0.77
dbeaver,38992,1.03
fastlane,38978,4.36
ailearning,38963,0.48
materialize,38863,33.38
reactjs-interview-questions,38698,0.92
kong,38687,5.00
awesome-design-patterns,38679,0.16
prisma,38625,1.87
CPlusPlusThings,38595,1.46
ColossalAI,38517,7.41
pyenv,38381,0.06
sentry,38375,0.03
black,38271,1.15
acme.sh,38259,0.09
pocketbase,38251,0.51
stablediffusion,38152,3.32
AFFiNE,38112,0.08
cheat.sh,38033,4.86
fanqiang,37938,0.49
Deep-Learning-Papers-Reading-Roadmap,37874,0.26
esbuild,37842,5.42
metabase,37840,3.33
php-src,37790,2.45
video.js,37730,0.67
bert,37714,1.45
tabler,37660,2.43
impress.js,37612,0.52
iina,37520,0.72
MPAndroidChart,37506,0.41
wrk,37430,2.83
lobe-chat,37421,0.78
cobra,37341,0.87
chakra-ui,37341,0.26
styleguide,37154,1.22
odoo,36996,2.73
Made-With-ML,36975,7.92
freecodecamp.cn,36942,2.96
Open-Assistant,36925,2.66
chinese-independent-developer,36892,2.23
phaser,36858,0.22
zju-icicles,36832,1.17
htmx,36824,0.34
tidb,36800,0.41
open-webui,36738,0.12
diagrams,36710,1.05
free,36688,0.77
nvm-windows,36649,2.89
English-level-up-tips,36542,1.98
interview_internal_reference,36495,5.15
preact,36494,0.90
cli,36486,0.50
tutorials,36429,0.71
gorm,36400,0.48
pure-bash-bible,36375,1.24
ClickHouse,36358,0.73
llm-course,36333,0.64
50projects50days,36269,1.62
ant-design-pro,36264,5.63
FastChat,36247,1.91
manifesto,36238,16.16
vaultwarden,36184,0.27
python-cheatsheet,36047,0.35
leveldb,36008,0.09
lazydocker,36005,0.05
airflow,35983,1.35
vim,35958,0.07
shellcheck,35952,3.04
JavaFamily,35871,2.08
nanoGPT,35861,1.07
mitmproxy,35704,1.16
DragGAN,35638,8.09
og-aws,35632,0.92
v,35625,2.31
lerna,35608,3.85
istio,35607,3.29
quivr,35602,0.34
wtfpython,35593,22.89
deeplearningbook-chinese,35546,3.10
GFPGAN,35397,0.39
arthas,35280,5.85
taro,35265,1.55
curl,35209,10.82
fullPage.js,35117,22.12
hello-algorithm,35101,3.86
aspnetcore,35077,0.13
koa,35071,6.55
bark,35037,0.52
tldraw,34989,1.47
shadowsocks-android,34941,3.37
lottie-android,34917,1.31
wtfjs,34899,1.53
sheetjs,34881,2.34
devdocs,34844,2.48
aria2,34836,1.62
bevy,34819,0.28
nativefier,34814,11.56
MockingBird,34795,5.19
hackathon-starter,34788,3.48
llama_index,34681,0.49
glide,34558,3.59
955.WLB,34548,5.89
TaskMatrix,34536,28.00
tesseract.js,34486,0.19
DeepSpeed,34466,0.22
the-way-to-go_ZH_CN,34448,3.65
node-v0.x-archive,34448,13.20
awesome-react-native,34439,7.75
carbon,34407,11.18
gym,34406,9.41
date-fns,34365,0.48
photoprism,34239,1.13
tmux,34233,0.08
streamlit,34229,1.69
interview,34224,1.11
Ryujinx,34212,2.10
termux-app,34194,0.02
insomnia,34179,0.82
trpc,34125,0.13
googletest,34116,4.47
lapce,34114,0.45
TrafficMonitor,34092,1.94
novu,34027,1.32
caffe,34015,10.59
whisper.cpp,33992,1.91
v2rayNG,33960,1.16
clipboard.js,33959,13.23
typeorm,33906,6.32
AI-For-Beginners,33832,1.97
formik,33831,17.02
vim-plug,33818,2.65
12306,33733,6.32
pandoc,33725,0.19
google-research,33693,0.26
metasploit-framework,33636,5.76
gold-miner,33627,4.97
Files,33554,0.27
shadowsocks,33546,11.94
compose,33433,0.13
zig,33407,0.12
HanLP,33355,2.50
AFNetworking,33336,22.09
Summer2025-Internships,33281,0.44
brackets,33266,6.10
awesome-javascript,33258,9.01
cli,33213,2.54
netty,33207,2.54
AndroidUtilCode,33189,17.68
fd,33140,0.67
awesome-compose,33126,2.24
EasySpider,33095,0.40
react-beautiful-dnd,33083,7.56
Awesome-Design-Tools,33028,1.21
REKCARC-TSC-UHT,32999,1.15
jieba,32998,0.03
halo,32987,2.39
jellyfin,32964,0.51
gulp,32959,8.94
XX-Net,32948,2.52
TTS,32948,1.33
immutable-js,32910,0.47
appsmith,32855,2.59
daisyui,32855,1.50
spring-boot-demo,32776,4.95
ray,32769,2.46
fiber,32760,1.10
marked,32656,0.29
zod,32634,4.24
LeetCode-Go,32616,2.69
zxing,32588,2.98
WeChatMsg,32576,1.75
slidev,32461,1.09
awesome-shell,32381,3.20
helix,32370,1.44
ijkplayer,32365,3.42
ccxt,32308,0.43
ShadowsocksX-NG,32307,6.03
typst,32287,0.02
material-design-lite,32282,17.07
carbon-lang,32267,2.65
expo,32253,0.02
husky,32215,4.49
gitness,32053,5.65
framework,32039,3.24
JavaScript,31986,2.81
solid,31944,1.23
penpot,31938,1.96
easyexcel,31873,3.83
logseq,31733,2.56
gradio,31733,0.24
fastify,31723,1.29
sqlmap,31720,2.83
RSSHub,31608,1.93
android-open-project,31597,5.37
awesome-awesomeness,31574,2.21
GitHubDaily,31572,0.09
GPT-SoVITS,31539,0.67
run,31413,0.36
nushell,31351,0.28
beego,31347,8.39
Coursera-ML-AndrewNg-Notes,31320,4.47
system-design,31294,0.36
certbot,31249,6.39
pytorch-image-models,31228,1.67
AgentGPT,31190,2.66
chatgpt-web,31185,0.84
graphql-engine,31018,0.20
jQuery-File-Upload,30965,4.59
engineering-blogs,30961,4.79
poetry,30900,1.34
NewPipe,30881,2.63
swc,30850,3.21
Python,30847,7.60
Langchain-Chatchat,30833,2.10
linux-command,30805,2.61
vault,30777,1.09
zsh-autosuggestions,30770,0.67
awesome-php,30768,3.34
clash-verge-rev,30720,0.15
cal.com,30712,1.04
openpose,30678,2.39
OpenHands,30655,0.91
Blog,30641,9.59
MS-DOS,30581,5.54
rxjs,30554,5.04
modern-unix,30537,16.18
leetcode,30504,0.87
vimrc,30501,3.07
yew,30442,0.19
spacedrive,30345,0.87
p3c,30338,3.45
ruff,30323,0.19
learnGitBranching,30319,5.02
How-To-Ask-Questions-The-Smart-Way,30311,0.57
libpku,30306,1.13
html2canvas,30302,0.49
NeteaseCloudMusicApi,30271,8.93
serenity,30254,0.07
portainer,30191,0.39
nps,30152,3.12
spring-boot-examples,30150,4.17
faiss,30144,0.70
lottie-web,30139,3.87
swr,30139,0.06
dotfiles,30108,0.51
selenium,30064,8.30
AnotherRedisDesktopManager,30063,3.16
fairseq,30053,0.02
HEAD,29973,5.47
jq,29965,0.30
autogen,29949,0.59
C-Plus-Plus,29911,1.44
nacos,29873,1.97
detectron2,29811,2.61
vue-cli,29757,4.66
linux-insides,29742,21.62
cockroach,29740,2.90
pytorch-tutorial,29726,5.54
jsoncrack.com,29701,0.38
HowToLiveLonger,29682,5.45
memos,29651,0.25
foundation-sites,29651,23.62
ChatTTS,29644,0.64
awesome-docker,29624,2.20
jax,29615,3.45
symfony,29573,0.02
spaCy,29545,1.45
slate,29522,6.47
ControlNet,29520,1.04
floating-ui,29514,5.71
