Nome do Repositório,Estrelas,Linguagem Principal
build-web-application-with-golang,43172,Go
hyper,43145,TypeScript
babel,43132,TypeScript
pandas,43069,Python
retrofit,42921,HTML
quill,42871,TypeScript
immich,42843,TypeScript
dify,42830,TypeScript
zx,42738,JavaScript
huginn,42638,Ruby
PythonDataScienceHandbook,42579,Jupyter Notebook
ImHex,42469,C++
30-Days-Of-JavaScript,42366,JavaScript
CppCoreGuidelines,42333,CSS
type-challenges,42158,TypeScript
PaddleOCR,42050,Python
terraform,42011,Go
frontend-dev-bookmarks,42010,Não especificada
json,41992,C++
open-source-ios-apps,41844,Não especificada
awesome-react-components,41768,Não especificada
git-flight-rules,41702,Não especificada
discourse,41562,Ruby
grpc,41459,C++
query,41441,TypeScript
yarn,41399,JavaScript
react-use,41383,TypeScript
alist,41338,Go
pm2,41243,JavaScript
front-end-interview-handbook,41225,MDX
awesome-java,41137,Não especificada
Alamofire,40923,Swift
localsend,40916,Dart
vue2-elm,40902,Vue
react-hook-form,40887,TypeScript
open-source-mac-os-apps,40868,Não especificada
Leaflet,40827,JavaScript
jadx,40658,Java
brew,40601,Ruby
30-Days-Of-Python,40505,Python
edex-ui,40463,JavaScript
drawio,40370,JavaScript
styled-components,40353,TypeScript
Docker-OSX,40324,Shell
dubbo,40319,Java
kubernetes-the-hard-way,40300,Não especificada
ChatGLM-6B,40296,Python
nw.js,40270,JavaScript
python-patterns,40086,Python
Rocket.Chat,39843,TypeScript
JeecgBoot,39827,Java
uni-app,39825,JavaScript
what-happens-when,39735,Não especificada
monaco-editor,39612,JavaScript
Fooocus,39588,Python
vuetify,39584,TypeScript
swiper,39442,JavaScript
awesome-cheatsheets,39184,JavaScript
spark,39178,Scala
text-generation-webui,39160,Python
hexo,39085,TypeScript
Stirling-PDF,39053,Java
lx-music-desktop,39009,TypeScript
dbeaver,38992,Java
fastlane,38978,Ruby
ailearning,38963,Python
materialize,38863,JavaScript
reactjs-interview-questions,38698,JavaScript
kong,38687,Lua
awesome-design-patterns,38679,Não especificada
prisma,38625,TypeScript
CPlusPlusThings,38595,C++
ColossalAI,38517,Python
pyenv,38380,Roff
sentry,38373,Python
black,38271,Python
acme.sh,38258,Shell
pocketbase,38251,Go
stablediffusion,38152,Python
AFFiNE,38113,TypeScript
cheat.sh,38033,Python
fanqiang,37938,Kotlin
Deep-Learning-Papers-Reading-Roadmap,37874,Python
esbuild,37842,Go
metabase,37840,Clojure
php-src,37790,C
video.js,37730,JavaScript
bert,37714,Python
tabler,37660,HTML
impress.js,37612,JavaScript
iina,37520,Swift
MPAndroidChart,37506,Java
wrk,37430,C
lobe-chat,37421,TypeScript
cobra,37341,Go
chakra-ui,37341,MDX
styleguide,37154,HTML
odoo,36996,Python
Made-With-ML,36975,Jupyter Notebook
freecodecamp.cn,36942,CSS
Open-Assistant,36925,Python
chinese-independent-developer,36892,Não especificada
phaser,36858,JavaScript
zju-icicles,36832,HTML
htmx,36824,JavaScript
tidb,36800,Go
open-webui,36737,Svelte
diagrams,36710,Python
free,36688,Não especificada
nvm-windows,36649,Go
English-level-up-tips,36542,HTML
interview_internal_reference,36495,Python
preact,36494,JavaScript
cli,36486,Go
tutorials,36429,Java
gorm,36400,Go
pure-bash-bible,36375,Shell
ClickHouse,36358,C++
llm-course,36333,Jupyter Notebook
50projects50days,36269,CSS
ant-design-pro,36264,TypeScript
FastChat,36247,Python
manifesto,36238,HTML
vaultwarden,36184,Rust
python-cheatsheet,36047,Python
leveldb,36007,C++
lazydocker,36006,Go
airflow,35983,Python
vim,35958,Vim Script
shellcheck,35952,Haskell
JavaFamily,35871,Não especificada
nanoGPT,35861,Python
mitmproxy,35704,Python
DragGAN,35638,Python
og-aws,35632,Shell
v,35625,V
lerna,35608,TypeScript
istio,35607,Go
quivr,35602,Python
wtfpython,35593,Python
deeplearningbook-chinese,35546,TeX
GFPGAN,35397,Python
arthas,35280,Java
taro,35265,TypeScript
curl,35209,C
fullPage.js,35117,JavaScript
hello-algorithm,35101,Java
aspnetcore,35078,C#
koa,35071,JavaScript
bark,35037,Jupyter Notebook
tldraw,34989,TypeScript
shadowsocks-android,34941,Kotlin
lottie-android,34917,Java
wtfjs,34899,JavaScript
sheetjs,34881,Não especificada
devdocs,34844,Ruby
aria2,34836,C++
bevy,34819,Rust
nativefier,34814,TypeScript
MockingBird,34795,Python
hackathon-starter,34788,JavaScript
llama_index,34681,Python
glide,34558,Java
955.WLB,34548,Não especificada
TaskMatrix,34536,Python
tesseract.js,34486,JavaScript
DeepSpeed,34466,Python
the-way-to-go_ZH_CN,34448,Go
node-v0.x-archive,34448,Não especificada
awesome-react-native,34439,JavaScript
carbon,34407,JavaScript
gym,34406,Python
date-fns,34365,TypeScript
photoprism,34239,Go
tmux,34234,C
streamlit,34229,Python
interview,34224,C++
Ryujinx,34212,C#
termux-app,34191,Java
insomnia,34179,JavaScript
trpc,34124,TypeScript
googletest,34116,C++
lapce,34114,Rust
TrafficMonitor,34092,C++
novu,34027,TypeScript
caffe,34015,C++
whisper.cpp,33992,C
v2rayNG,33960,Kotlin
clipboard.js,33959,JavaScript
typeorm,33906,TypeScript
AI-For-Beginners,33832,Jupyter Notebook
formik,33831,TypeScript
vim-plug,33818,Vim Script
12306,33733,Python
pandoc,33725,Haskell
google-research,33693,Jupyter Notebook
metasploit-framework,33636,Ruby
gold-miner,33627,Não especificada
Files,33554,C#
shadowsocks,33546,Python
compose,33434,Go
zig,33406,Zig
HanLP,33355,Python
AFNetworking,33336,Objective-C
