Nome do Repositório,Estrelas,Pull Requests Aceitas
jadx,40658,482
brew,40601,11275
30-Days-Of-Python,40505,55
edex-ui,40463,399
drawio,40370,36
styled-components,40353,945
Docker-OSX,40325,101
dubbo,40319,5262
kubernetes-the-hard-way,40300,70
ChatGLM-6B,40296,49
nw.js,40270,573
python-patterns,40086,264
Rocket.Chat,39843,12543
JeecgBoot,39827,74
uni-app,39825,304
what-happens-when,39735,108
monaco-editor,39612,447
Fooocus,39588,448
vuetify,39584,3943
swiper,39442,575
awesome-cheatsheets,39184,169
spark,39178,7
text-generation-webui,39160,1005
hexo,39085,912
Stirling-PDF,39053,774
lx-music-desktop,39009,35
dbeaver,38992,4957
fastlane,38978,6177
ailearning,38963,477
materialize,38863,449
reactjs-interview-questions,38698,155
kong,38687,5932
awesome-design-patterns,38679,30
prisma,38625,5490
CPlusPlusThings,38595,72
ColossalAI,38517,3512
pyenv,38380,878
sentry,38373,55808
black,38271,1471
acme.sh,38258,1306
pocketbase,38251,49
stablediffusion,38152,18
AFFiNE,38113,4608
cheat.sh,38033,122
fanqiang,37938,3
Deep-Learning-Papers-Reading-Roadmap,37874,28
esbuild,37842,234
metabase,37840,23892
php-src,37790,3140
video.js,37730,1762
bert,37714,32
tabler,37660,485
impress.js,37612,121
iina,37520,732
MPAndroidChart,37506,190
wrk,37430,0
lobe-chat,37421,985
cobra,37341,583
chakra-ui,37341,2392
styleguide,37154,161
odoo,36996,6175
Made-With-ML,36975,147
freecodecamp.cn,36942,55
Open-Assistant,36925,1616
chinese-independent-developer,36892,235
phaser,36858,1673
zju-icicles,36832,211
htmx,36824,752
tidb,36800,29338
open-webui,36737,1120
diagrams,36710,255
free,36688,0
nvm-windows,36649,97
English-level-up-tips,36542,26
interview_internal_reference,36495,35
preact,36494,1667
cli,36486,2166
tutorials,36429,12240
gorm,36400,714
pure-bash-bible,36375,28
ClickHouse,36358,39659
llm-course,36333,1
50projects50days,36269,42
ant-design-pro,36264,960
FastChat,36247,788
manifesto,36238,761
vaultwarden,36184,820
python-cheatsheet,36047,14
leveldb,36007,62
lazydocker,36006,181
airflow,35983,21539
vim,35958,438
shellcheck,35952,285
JavaFamily,35871,2
nanoGPT,35861,44
mitmproxy,35704,2363
DragGAN,35638,18
og-aws,35632,498
v,35625,10736
lerna,35608,960
istio,35607,26015
quivr,35602,1573
wtfpython,35593,100
deeplearningbook-chinese,35546,16
GFPGAN,35397,14
arthas,35280,513
taro,35265,3222
curl,35209,181
fullPage.js,35117,310
hello-algorithm,35101,26
