Nome do Repositório,Estrelas,Idade (anos)
CppCoreGuidelines,42312,9.00
30-Days-Of-JavaScript,42296,4.66
type-challenges,42061,4.08
terraform,41982,10.44
frontend-dev-bookmarks,41969,11.16
json,41941,11.13
PaddleOCR,41916,4.28
open-source-ios-apps,41798,9.57
awesome-react-components,41718,8.16
git-flight-rules,41699,10.08
discourse,41522,11.61
grpc,41448,9.70
yarn,41397,8.59
query,41370,4.94
react-use,41351,5.82
pm2,41223,11.25
alist,41219,3.66
front-end-interview-handbook,41171,6.60
awesome-java,41098,10.12
Alamofire,40903,10.06
vue2-elm,40902,7.66
react-hook-form,40845,5.46
open-source-mac-os-apps,40814,6.80
Leaflet,40808,13.91
localsend,40741,1.68
jadx,40582,11.43
brew,40551,8.46
edex-ui,40449,7.56
30-Days-Of-Python,40377,4.75
styled-components,40344,8.01
drawio,40310,7.95
dubbo,40307,12.17
ChatGLM-6B,40270,1.44
nw.js,40266,12.63
kubernetes-the-hard-way,40228,8.12
Docker-OSX,40125,4.21
python-patterns,40072,12.21
uni-app,39815,6.11
Rocket.Chat,39805,9.26
JeecgBoot,39777,5.73
what-happens-when,39726,10.78
vuetify,39560,7.94
monaco-editor,39555,8.20
Fooocus,39485,1.03
swiper,39402,12.44
spark,39162,10.48
awesome-cheatsheets,39103,6.78
text-generation-webui,39075,1.66
hexo,39061,11.91
fastlane,38967,9.72
ailearning,38951,7.48
dbeaver,38928,8.83
lx-music-desktop,38928,5.02
materialize,38866,9.94
kong,38652,9.76
reactjs-interview-questions,38642,6.22
awesome-design-patterns,38583,6.21
prisma,38576,5.17
CPlusPlusThings,38550,5.10
ColossalAI,38502,2.81
Stirling-PDF,38473,1.56
sentry,38337,13.97
pyenv,38329,11.97
black,38229,6.44
acme.sh,38202,8.65
pocketbase,38119,2.13
stablediffusion,38104,1.74
cheat.sh,38002,7.29
AFFiNE,37986,2.06
fanqiang,37907,9.60
Deep-Learning-Papers-Reading-Roadmap,37858,7.85
esbuild,37837,8.18
metabase,37790,9.55
php-src,37770,13.18
video.js,37713,14.27
bert,37687,5.82
tabler,37632,6.55
impress.js,37602,12.65
MPAndroidChart,37494,10.32
iina,37490,7.67
wrk,37411,12.42
chakra-ui,37328,5.01
cobra,37317,10.96
lobe-chat,37212,1.25
styleguide,37133,9.25
Made-With-ML,36960,5.79
odoo,36930,10.27
freecodecamp.cn,36928,7.89
Open-Assistant,36917,1.69
phaser,36845,11.36
chinese-independent-developer,36835,6.91
zju-icicles,36814,8.15
tidb,36780,8.96
htmx,36680,4.35
free,36668,4.21
diagrams,36585,4.55
nvm-windows,36580,9.92
English-level-up-tips,36509,7.23
interview_internal_reference,36484,5.20
preact,36476,8.94
cli,36432,4.88
tutorials,36423,11.31
gorm,36375,10.82
pure-bash-bible,36368,6.19
ClickHouse,36296,8.22
ant-design-pro,36245,6.99
open-webui,36236,0.87
manifesto,36233,1.02
50projects50days,36213,3.76
FastChat,36206,1.43
vaultwarden,36045,6.51
python-cheatsheet,36028,6.57
llm-course,36006,1.18
leveldb,35976,9.98
shellcheck,35918,11.76
airflow,35917,9.36
vim,35907,9.01
lazydocker,35869,5.26
JavaFamily,35856,4.77
nanoGPT,35773,1.65
mitmproxy,35638,14.51
DragGAN,35635,1.26
v,35627,5.53
og-aws,35623,8.10
lerna,35597,8.71
istio,35592,7.75
wtfpython,35581,6.98
deeplearningbook-chinese,35537,7.70
GFPGAN,35342,3.42
arthas,35257,5.98
taro,35256,6.37
curl,35182,14.43
fullPage.js,35114,10.92
hello-algorithm,35087,4.23
koa,35066,11.09
aspnetcore,35058,10.44
bark,34954,1.37
tldraw,34934,3.28
shadowsocks-android,34920,11.68
lottie-android,34904,7.87
wtfjs,34875,7.10
sheetjs,34871,11.71
devdocs,34822,10.82
nativefier,34799,9.13
hackathon-starter,34789,10.77
MockingBird,34776,3.04
bevy,34754,4.59
aria2,34702,13.73
quivr,34648,1.28
llama_index,34573,1.80
glide,34547,11.12
955.WLB,34543,5.40
TaskMatrix,34534,1.47
node-v0.x-archive,34454,15.23
the-way-to-go_ZH_CN,34450,11.41
tesseract.js,34445,9.16
