Nome do Repositório,Estrelas,Idioma
alpine,27779,English
the-super-tiny-compiler,27773,English
HEU_KMS_Activator,27744,English
spring-cloud-alibaba,27743,English
ultralytics,27643,English
legado,27631,English
mpv,27614,English
llvm-project,27608,English
servo,27601,English
handson-ml2,27573,English
Data-Science-For-Beginners,27556,English
nginxconfig.io,27541,English
Clone-Wars,27524,English
react-select,27507,English
Charts,27487,English
Real-ESRGAN,27474,English
JavaScript30,27465,README.md ausente
croc,27447,English
immer,27436,README.md ausente
mobx,27430,English
CheatSheetSeries,27425,English
numpy,27409,English
waifu2x,27402,English
k3s,27385,English
Daily-Interview-Question,27369,Norwegian
backstage,27368,English
docsify,27294,English
yapi,27293,Norwegian
underscore,27287,English
comprehensive-rust,27280,English
xxl-job,27255,Chinese (China)
vhr,27251,English
LLM101n,27232,English
netron,27231,English
MonitorControl,27141,English
weui,27132,English
applied-ml,27109,English
ResumeSample,27106,Vietnamese
JCSprout,27068,Norwegian
Complete-Python-3-Bootcamp,27052,English
plane,27048,English
data-science-ipython-notebooks,27034,English
refine,27000,English
legacy-homebrew,26994,English
react-three-fiber,26974,README.md ausente
directus,26911,README.md ausente
reverse-interview,26908,English
os-tutorial,26867,English
gitbook,26867,English
outline,26858,English
mongoose,26848,English
xstate,26792,English
Faker,26786,README.md ausente
python-fire,26784,English
codemirror5,26748,English
roop,26728,English
angular-cli,26714,English
hangzhou_house_knowledge,26712,Vietnamese
helm,26691,English
qBittorrent,26678,English
viper,26678,English
rethinkdb,26675,English
trilium,26663,English
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26637,English
lux,26626,English
ace,26623,README.md ausente
mediapipe,26598,English
gitflow,26593,README.md ausente
dokku,26566,English
DevToys,26555,English
Python-programming-exercises,26531,English
surrealdb,26522,English
commander.js,26517,README.md ausente
server,26484,English
kit,26451,English
ruoyi-vue-pro,26393,Vietnamese
aos,26391,English
hosts,26386,README.md ausente
tiptap,26362,English
90DaysOfDevOps,26335,English
ink,26327,README.md ausente
bulletproof-react,26280,English
k9s,26277,English
plyr,26256,English
swagger-ui,26237,English
Detectron,26235,English
bubbletea,26231,English
tokio,26230,English
dnSpy,26224,English
react-virtualized,26224,English
nodemon,26209,English
coder2gwy,26198,Chinese (China)
tuning_playbook,26193,English
stb,26164,English
miaosha,26155,Chinese (China)
glances,26138,README.md ausente
vagrant,26132,English
UTM,26077,English
mindsdb,26065,English
fastai,26035,English
nprogress,26033,README.md ausente
the_silver_searcher,26022,English
xgboost,26019,English
Tvlist-awesome-m3u-m3u8,26009,Vietnamese
Web,26001,Chinese (China)
mongo,25987,English
tinygrad,25899,English
mantine,25888,English
select2,25866,English
turborepo,25857,English
redash,25836,English
fetch,25805,English
fastText,25800,English
paper-reading,25798,English
cmder,25788,English
hacker-laws,25723,English
llama3,25718,English
Depix,25717,English
python-telegram-bot,25713,README.md ausente
fastjson,25700,English
langflow,25700,English
request,25680,English
quasar,25671,English
lossless-cut,25651,English
darknet,25649,English
DeepFaceLive,25646,English
Modernizr,25630,English
awesome-electron,25630,README.md ausente
lottie-ios,25608,English
fonts,25597,README.md ausente
full-stack-fastapi-template,25595,English
butterknife,25565,English
emscripten,25549,English
awesome-cto,25547,English
spleeter,25543,English
tdesktop,25534,English
restic,25522,English
headlessui,25509,English
fish-shell,25480,README.md ausente
Rectangle,25461,English
filebrowser,25405,English
vllm,25396,English
YouCompleteMe,25395,English
ItChat,25393,English
cascadia-code,25381,English
awesome-deep-learning-papers,25336,English
Signal-Android,25301,English
Free-Certifications,25301,English
taichi,25299,English
modern-js-cheatsheet,25293,English
Pake,25287,English
toBeTopJavaer,25270,Chinese (China)
MiniGPT-4,25266,English
openssl,25260,English
discord.js,25197,English
Hello-Python,25194,Spanish
ngx-admin,25181,English
incubator-seata,25175,English
so-vits-svc,25174,English
fe-interview,25170,English
rollup,25164,English
handson-ml,25153,English
srs,25152,English
iris,25105,English
dragonfly,25095,English
LLMs-from-scratch,25071,English
SDWebImage,25027,English
30-Days-Of-React,25027,README.md ausente
Avalonia,25009,README.md ausente
DeepSpeech,24968,README.md ausente
firecracker,24955,English
proxyee-down,24941,Norwegian
jumpserver,24930,English
apollo,24928,English
faas,24919,English
react-native-elements,24909,English
ChatDev,24907,English
go-patterns,24868,English
SmartRefreshLayout,24854,English
textual,24826,English
nsq,24817,English
setup-ipsec-vpn,24816,English
diffusers,24815,English
nylas-mail,24807,English
go,24796,English
eslint,24791,English
pipenv,24781,English
feather,24766,English
awesome-vscode,24746,English
table,24741,English
k6,24721,English
awesome-swift,24677,English
localForage,24674,English
TrackersListCollection,24671,English
vscodium,24670,English
react-admin,24667,English
EventBus,24664,English
openzeppelin-contracts,24663,English
micro,24656,English
awesome-actions,24652,English
rust-course,24641,English
create-t3-app,24638,Italian
docker_practice,24605,Norwegian
devtools,24602,English
idiomatic.js,24577,README.md ausente
iTerm2-Color-Schemes,24566,English
eShopOnContainers,24546,English
awesome-datascience,24538,English
envoy,24516,English
autocomplete,24506,English
CasaOS,24503,English
Mask_RCNN,24492,English
logrus,24456,English
locust,24455,English
flameshot,24412,English
fyne,24370,English
bruno,24357,README.md ausente
CLIP,24340,English
vnpy,24336,Norwegian
Telegram,24322,English
RxSwift,24306,English
stats,24295,English
celery,24293,README.md ausente
core-js,24292,English
wttr.in,24285,English
awesome-sysadmin,24282,English
Wox,24281,English
medusa,24281,English
components,24276,English
pkg,24271,English
BaseRecyclerViewAdapterHelper,24262,English
coc.nvim,24260,English
data-engineering-zoomcamp,24253,English
AdGuardHome,24247,English
vapor,24242,English
wiki,24226,English
nanoid,24194,English
Umi-OCR,24181,Vietnamese
elixir,24180,English
